GENOTYPE,PLOT,Index
CT27050-56-R-R-R-MPL,595,2
CT27035-58-R-R-R-MPL,596,6
CT27050-79-R-R-R-MPL,597,4
CT26997-109-R-R-R-MPL,598,2
CT27047-130-R-R-R-MPL,599,7
CT27038-94-R-R-R-MPL,600,7
CT27031-31-R-R-R-MPL,601,6
CT27038-71-R-R-R-MPL,602,5
CT27015-101-R-R-R-MPL,603,5
IRGA 5925-1-4-1-PL-3,604,3
CT27057-57-R-R-R-MPL,605,1
CT26998-44-R-R-R-MPL,606,4
CT26997-57-R-R-R-MPL,607,2
CT26987-81-R-R-R-MPL,608,7
CT26997-104-R-R-R-MPL,609,6
CT27009-43-R-R-R-MPL,610,7
CT27015-110-R-R-R-MPL,611,7
CT27017-87-R-R-R-MPL,612,7
CT27020-95-R-R-R-MPL,613,7
CT27031-95-R-R-R-MPL,614,6
CT27050-32-R-R-R-MPL,615,3
CT27035-90-R-R-R-MPL,616,6
CT26987-120-R-R-R-MPL,617,6
CT26998-81-R-R-R-MPL,618,7
CT27009-63-R-R-R-MPL,619,5
CT27035-64-R-R-R-MPL,620,6
CT27031-39-R-R-R-MPL,621,7
CT27035-103-R-R-R-MPL,622,7
CT26987-133-R-R-R-MPL,623,7
CT27009-58-R-R-R-MPL,624,7
CT27035-54-R-R-R-MPL,625,6
FEDEARROZ 2000,626,6
CT26989-134-R-R-R-MPL,627,7
CT27035-156-R-R-R-MPL,628,6
CT27015-127-R-R-R-MPL,629,7
CT26995-50-R-R-R-MPL,630,6
CT27016-65-R-R-R-MPL,631,7
CT26989-85-R-R-R-MPL,632,4
CT26997-86-R-R-R-MPL,633,4
CT26989-126-R-R-R-MPL,634,6
CT27031-109-R-R-R-MPL,635,6
CT26995-31-R-R-R-MPL,636,7
CT26991-58-R-R-R-MPL,637,5
CT26995-36-R-R-R-MPL,638,6
CT27031-34-R-R-R-MPL,639,6
CT26995-57-R-R-R-MPL,640,7
ORYZICA 1,641,6
CT27048-50-R-R-R-MPL,642,7
CT27038-65-R-R-R-MPL,643,7
CT27015-85-R-R-R-MPL,644,7
